Empresa,Producto/Novedad,Tipo de Maquinaria,Descripción / Características Clave,Fuente / Referencia Snippet,Notas Adicionales
Akron,Esparcidor EE2018,Fertilizadora / Implemento,"20 toneladas de capacidad, arrastre por cadenas, para enmiendas orgánicas sólidas y semisólidas.",,Lanzamiento.
Akron,Línea TERRAPLANE,Otro Implemento,"Palas cargadoras frontales, motoniveladoras, autoelevadores.",,Debut en AgroActiva.
Akron,Distribución Tractores Kubota,Tractor,"Modelos de 95, 103 y 135 HP.",,Como distribuidor oficial.
Akron,Distribución Drones DJI,Dron Agrícola,"Modelos Agras T50, T25 y Mavic 3M para pulverización, siembra, fertilización y mapeo.",,Como distribuidor oficial.
Altina,"Línea INOX (HP 6730, HP 5522i)",Fertilizadora / Incorporadora,"Equipos 100% acero inoxidable. HP 6730: Fertilizadora, 6.700L, 30m ancho labor. HP 5522i: Incorporadora neumática, 5.500L, para suelos secos.",,Presentada en AgroActiva 2025. Stand 310F.
Altina,Kit 4.2 INOX,Fertilizadora,Nuevo diseño 100% acero inoxidable. Balance entre capacidad de tolva y tecnología de precisión.,,Presentado en AgroActiva 2025. Stand 310F.
Altina,KIT ALTINA 18.5,Fertilizadora,"Gran capacidad de carga, para contratistas que buscan máxima autonomía y eficiencia.",,Presentado en AgroActiva 2025. Stand 310F.
Antonio Bernardi y Capello,Cabezal de corte directo Spartan,Implemento Forrajero,Para recolección de todo tipo de forrajes de altura mediana o alta. Adaptable a todas las picadoras autopropulsadas. Sinfín de alimentación de gran diámetro.,,Debut en AgroActiva 2025.
Antonio Bernardi y Capello,Cabezal maicero Quasar,Implemento Forrajero,"Alto desempeño. Se exhibirá para darlo a conocer, con objetivo de futura comercialización.",,Exhibición en AgroActiva 2025.
Apache,Sembradora 90mil air drill,Sembradora,,,Lanzamiento programado para el 5 de junio en AgroActiva.
ARAG Argentina,Propuesta integral,Solución Digital/Agricultura de Precisión,"Enfocada en eficiencia, innovación y tecnología aplicada al campo. Desarrollo de componentes para siembra, pulverización, fertilización y agricultura de precisión.",,"Lote 132F, AgroActiva 2025. Aniversario 26."
Canavesio,Innovaciones en embolsado de forraje (ej. M40),Implemento Forrajero,Tecnologías para optimizar trabajo y potenciar capacidad. Modelo M40 de 40.000L de capacidad.,,Presentado en AgroActiva 2025. Stand 308E.
Case IH,Tractor Steiger,Tractor,Descrito como el más grande y potente del país.,,Presentado en AgroActiva 2025.
Case IH,Soluciones en Cosecha,Cosechadora,Innovaciones y soluciones en cosecha.,,Presentado en AgroActiva 2025.
Case IH,Soluciones en Pulverización,Pulverizadora,Innovaciones y soluciones en pulverización.,,Presentado en AgroActiva 2025.
Case IH,Soluciones en Heno y Forraje,Implemento Forrajero,Innovaciones y soluciones en heno y forraje.,,Presentado en AgroActiva 2025.
Case IH,Drones Aplicadores P60 y P150,Dron Agrícola,"P60 con capacidad de 30 litros, P150 con capacidad de 70 litros.",,Lanzamiento en AgroActiva 2025.
Case IH,Soluciones de Agricultura Digital,Solución Digital/Agricultura de Precisión,"Productos de agricultura de precisión, Centro de Conectividad Avanzada, plataformas Case IH FieldOps, FieldXplorer y FarmXtend.",,Presentado en AgroActiva 2025.
Centenario,Tráiler para drones,Otro Implemento,"Para traslado de dron, baterías, generador e insumos. Versiones de 4 y 5m de largo. Dos configuraciones: 1) Habitáculo delantero. 2) Habitáculo delantero + techo/estación de despegue y monitoreo.",,Lanzamiento en AgroActiva 2025. Stand 280F.
CLAAS,Tractor AXION 930,Tractor,"360 CV (ext. 363 CV), motor FPT 8.7L, transmisión CMATIC, sistema CEMOS para optimización de rendimiento (hasta -16.8% consumo), piloto CEMIS 1200, conectividad CLAAS Connect.",,Presentado en AgroActiva 2025.
CLAAS,Cosechadora TRION 710,Cosechadora,Exhibida con maicero Allochis de 20 surcos a 52 cm.,,Exhibición en AgroActiva 2025.
CLAAS,Picadora JAGUAR 950,Implemento Forrajero,Exhibida con cabezal Orbis 750.,,Exhibición en AgroActiva 2025.
CLAAS,Segadoras DISCO (8500 C y 3200 C),Implemento Forrajero,"Tecnología MAX CUT, sistema de cambio rápido de cuchillas.",,Exhibición en AgroActiva 2025.
Crucianelli,Nuevo producto de fertilización,Fertilizadora,Promete marcar un antes y un después en la historia de la fertilización nacional. Adquirió Fertec.,,Lanzamiento programado para el 4 de junio en AgroActiva 2025.
DOLBI S.A.,Sembradora innovadora DX2142,Sembradora,"Multipropósito, tecnologías para implantación precisa. Apuesta a siembra de alta velocidad con ecuRow (hasta 14 Km/hora, singulación 99%), configurable 1-5 módulos, distanciamientos 35, 38, 52,5, 70 cm, ancho transporte 3,50m.",,Presentada en AgroActiva 2025.
Fabimag,Sembradora para maní SM3.0,Sembradora,Rediseño dentro de la Línea Generación 3.0. Apta para otros cultivos como soja. Más recursos tecnológicos.,,Lanzamiento en AgroActiva 2025. Stand B5.
Gauss Landtechnik,Mixer autopropulsado Faresin Leader PF 1.20,Implemento Forrajero,"Motor Deutz, velocidad máx. 30 km/h, caja de carga 20.000L, sinfín vertical.",,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,Manipulador telescópico Faresin FS 7.32C Stage III A,Otro Implemento,"Capacidad levante 3 ton, altura máx. elevación 7m.",,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,"Equipos Krone (picadoras, segadoras, rotoenfardadoras)",Implemento Forrajero,Línea de forraje de Krone.,,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,Equipos Lemken,Implemento de Labranza,Equipos para preparación de suelos y siembra.,,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,"Equipos GTS (cabezal maicero, draper, niveladoras)",Implemento Forrajero / Implemento de Labranza,"Cabezal maicero, draper y niveladoras de aluminio GTS.",,Presentado en AgroActiva 2025. Stand 258F.
Green Pac,Cabezal rotativo Gaser XWD 460,Implemento Forrajero,"Desarrollo propio, adaptable a todos los modelos de picadoras disponibles en Argentina.",,Lanzamiento en AgroActiva 2025 (anuncio 3 de junio).
Green Pac,Embolsadora GSX 310,Implemento Forrajero,"Rotor de 3 metros, motor FPT de 310 CV, logística ágil.",,Lanzamiento en AgroActiva 2025 (anuncio 3 de junio).
Grupo BPB (B&P Motion Solutions),Marca B&P Agro Solutions,Solución Digital/Agricultura de Precisión,"Agrupa cuerpos de siembra, dosificadores, cajas eléctricas para cabezales maiceros.",,Lanzamiento en AgroActiva 2025. Stand 164A.
Hidrogrúas TKA (Básculas Magris),Controles inalámbricos Tecnnic,Otro Implemento,Adaptables a cualquier tipo y marca de hidrogrúa. Mejoran seguridad y eficiencia.,,Presentado en AgroActiva 2025. Stand Básculas Magris.
Indecar,Descuentos en línea de sembradoras,Sembradora,"Hasta 30% de descuento en modelos Neo Plant, Neo Plant Precision, Guerrera Autoseed y Torflex. Opción pago con soja +10% valor pizarra.",,Promoción para AgroActiva 2025 (anuncio 2 de junio).
Indecar,Sembradora NEO con Neo Plant Precision,Sembradora,"Sistema permite sembrar soja como con sistema de placa, pero con dosificador central. Aumento de rinde en soja de 500-700 kg. Sistema de presión de cuerpo con pistones. Alianza con VAF (monitores/computadoras de siembra).",,"Mencionada en Expoagro, relevante para anuncios recientes."
Invezta,Incorporadora XTRA-5000,Incorporadora / Subsolador / Implemento de Labranza,"Capacidad 5.000 litros, ancho de labor 8 metros, cuerpos fertilizadores con doble paralelogramo, dos cortes de sección con fertilización variable, balanza 6 celdas.",,Lanzamiento en AgroActiva 2025. Stand 156B (Invezta) / Stand 244A (Maquinac).
Jacto,Abonadora autopropulsada Uniport 8030 NPK,Fertilizadora,"Motor Cummins QSB 6.7 de 300 CV. Tolva de 8.000 kg / 8 m3. Faja de aplicación: hasta 50m (granulados), 12m (polvo), 27m (semillas). Control automático de 12 secciones. SmartSet. Direccional Unitrack.",,"Presentada en Expoagro 2025, relevante para anuncios recientes."
Leaf Agrotronics (Grupo Crucianelli),Novedades Leaf Agrotronics,Solución Digital/Agricultura de Precisión,Lanzamientos de la división de agricultura de precisión de Crucianelli. Nuevo monitor ORIZON. App Leaf X para control integral en siembra. Dosificador de Fina Múltiple. Aplicaciones en Surco Leaf by Orion.,,Presentado en AgroActiva 2025.
