Empresa,Producto/Novedad,Tipo de Maquinaria,Descripción / Características Clave,Fuente / Referencia Snippet,Notas Adicionales
Abelardo Cuffia,"Soluciones en siembra, pulverización, fertilización y telemetría",Solución Digital/Agricultura de Precisión,"Control Dosificadores Eléctricos Agrotax, Corte Automático Sembradoras, Monitor Siembra Fusion Pro, Control Hidráulico Fertilizadoras FGS Black, Plataforma Integral FGS Black, Aplicación Selectiva SaveFarm y Ecorobotix (IA).",51,Lanzamientos y sorpresas en AgroActiva 2025. Sponsor del evento.
Agromec,Rastra Súper 90 con siembra y fertilización,Implemento de Labranza,Incorpora tolva plástica (El Torito) para siembra y fertilización en una pasada.,49,"Prototipo, presentación comercial en AgroActiva 2025. Stand 150E."
Altina,"Línea INOX (HP 6730, HP 5522i)",Fertilizadora / Incorporadora,"Equipos 100% acero inoxidable. HP 6730: Fertilizadora, 6.700L, 30m ancho labor. HP 5522i: Incorporadora neumática, 5.500L, para suelos secos.",7,Presentada en AgroActiva 2025. Stand 310F.
Altina,Kit 4.2 INOX,Fertilizadora,Nuevo diseño 100% acero inoxidable. Balance entre capacidad de tolva y tecnología de precisión.,33,Presentado en AgroActiva 2025. Stand 310F.
Altina,KIT ALTINA 18.5,Fertilizadora,"Gran capacidad de carga, para contratistas que buscan máxima autonomía y eficiencia.",34,Presentado en AgroActiva 2025. Stand 310F.
Antonio Bernardi y Capello,Cabezal de corte directo Spartan,Implemento Forrajero,Para recolección de todo tipo de forrajes de altura mediana o alta. Adaptable a todas las picadoras autopropulsadas. Sinfín de alimentación de gran diámetro.,35,Debut en AgroActiva 2025.
Antonio Bernardi y Capello,Cabezal maicero Quasar,Implemento Forrajero,"Alto desempeño. Se exhibirá para darlo a conocer, con objetivo de futura comercialización.",35,Exhibición en AgroActiva 2025.
ARAG Argentina,Propuesta integral,Solución Digital/Agricultura de Precisión,"Enfocada en eficiencia, innovación y tecnología aplicada al campo. Desarrollo de componentes para siembra, pulverización, fertilización y agricultura de precisión.",2,"Lote 132F, AgroActiva 2025. Aniversario 26."
Canavesio,Innovaciones en embolsado de forraje (ej. M40),Implemento Forrajero,Tecnologías para optimizar trabajo y potenciar capacidad. Modelo M40 de 40.000L de capacidad.,7,Presentado en AgroActiva 2025. Stand 308E.
Case IH,Tractor Steiger,Tractor,Descrito como el más grande y potente del país.,12,Presentado en AgroActiva 2025
Case IH,Soluciones en Cosecha,Cosechadora,Innovaciones y soluciones en cosecha.,12,Presentado en AgroActiva 2025
Case IH,Soluciones en Pulverización,Pulverizadora,Innovaciones y soluciones en pulverización.,12,Presentado en AgroActiva 2025
Case IH,Soluciones en Heno y Forraje,Implemento Forrajero,Innovaciones y soluciones en heno y forraje.,12,Presentado en AgroActiva 2025
Case IH,Drones Aplicadores P60 y P150,Dron Agrícola,"P60 con capacidad de 30 litros, P150 con capacidad de 70 litros.",13,Lanzamiento en AgroActiva 2025
Case IH,Soluciones de Agricultura Digital,Solución Digital/Agricultura de Precisión,"Productos de agricultura de precisión, Centro de Conectividad Avanzada, plataformas Case IH FieldOps, FieldXplorer y FarmXtend.",12,Presentado en AgroActiva 2025
Centenario,Tráiler para drones,Otro Implemento,"Para traslado de dron, baterías, generador e insumos. Versiones de 4 y 5m de largo. Dos configuraciones: 1) Habitáculo delantero. 2) Habitáculo delantero + techo/estación de despegue y monitoreo.",35,Lanzamiento en AgroActiva 2025. Stand 280F.
Crucianelli,Nuevo producto de fertilización,Fertilizadora,"""Promete marcar un antes y un después en la historia de la fertilización nacional"". Adquirió Fertec.",19,Lanzamiento en AgroActiva 2025.
DOLBI S.A.,Sembradora innovadora DX2142,Sembradora,"Multipropósito, tecnologías para implantación precisa. Apuesta a siembra de alta velocidad con ecuRow (hasta 14 Km/hora, singulación 99%), configurable 1-5 módulos, distanciamientos 35, 38, 52,5, 70 cm, ancho transporte 3,50m.",2,Presentada en AgroActiva 2025.
Fabimag,Sembradora para maní SM3.0,Sembradora,Rediseño dentro de la Línea Generación 3.0. Apta para otros cultivos como soja. Más recursos tecnológicos.,27,Lanzamiento en AgroActiva 2025. Stand B5.
Gauss Landtechnik,Mixer autopropulsado Faresin Leader PF 1.20,Implemento Forrajero,"Motor Deutz, velocidad máx. 30 km/h, caja de carga 20.000L, sinfín vertical.",45,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,Manipulador telescópico Faresin FS 7.32C Stage III A,Otro Implemento,"Capacidad levante 3 ton, altura máx. elevación 7m.",45,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,"Equipos Krone (picadoras, segadoras, rotoenfardadoras)",Implemento Forrajero,Línea de forraje de Krone.,45,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,Equipos Lemken,Implemento de Labranza,Equipos para preparación de suelos y siembra.,45,Presentado en AgroActiva 2025. Stand 258F.
Gauss Landtechnik,"Equipos GTS (cabezal maicero, draper, niveladoras)",Implemento Forrajero / Implemento de Labranza,"Cabezal maicero, draper y niveladoras de aluminio GTS.",45,Presentado en AgroActiva 2025. Stand 258F.
Grupo BPB (B&P Motion Solutions),Marca B&P Agro Solutions,Solución Digital/Agricultura de Precisión,"Agrupa cuerpos de siembra, dosificadores, cajas eléctricas para cabezales maiceros.",7,Lanzamiento en AgroActiva 2025. Stand 164A.
Hidrogrúas TKA (Básculas Magris),Controles inalámbricos Tecnnic,Otro Implemento,Adaptables a cualquier tipo y marca de hidrogrúa. Mejoran seguridad y eficiencia.,56,Presentado en AgroActiva 2025. Stand Básculas Magris.
Indecar,Sembradora NEO con Neo Plant Precision,Sembradora,"Sistema permite sembrar soja como con sistema de placa, pero con dosificador central. Aumento de rinde en soja de 500-700 kg. Sistema de presión de cuerpo con pistones. Alianza con VAF (monitores/computadoras de siembra).",6,"Mencionada en Expoagro, relevante para anuncios recientes."
Invezta,Incorporadora XTRA-5000,Incorporadora / Subsolador / Implemento de Labranza,"Capacidad 5.000 litros, ancho de labor 8 metros.",35,Lanzamiento en AgroActiva 2025. Stand 156B.
Jacto,Abonadora autopropulsada Uniport 8030 NPK,Fertilizadora,"Motor Cummins QSB 6.7 de 300 CV. Tolva de 8.000 kg / 8 m3. Faja de aplicación: hasta 50m (granulados), 12m (polvo), 27m (semillas). Control automático de 12 secciones. SmartSet. Direccional Unitrack.",30,"Presentada en Expoagro 2025, relevante para anuncios recientes."
Leaf Agrotronics,Novedades Leaf Agrotronics,Solución Digital/Agricultura de Precisión,Lanzamientos de la división de agricultura de precisión de Crucianelli. Nuevo monitor ORIZON. App Leaf X para control integral en siembra. Dosificador de Fina Múltiple. Aplicaciones en Surco Leaf by Orion.,19,Presentado en AgroActiva 2025.
Loyto,Moledora circular L360,Otro Implemento,"Zaranda ocupa toda la circunferencia del molino (descarga 360°). Moliendas extremadamente finas (harinas). Mayor rinde/hora, menor temperatura por fricción, descarga con ciclón para control de polvo.",58,Lanzamiento en AgroActiva 2025. Stand 156C.
Mainero,Cabezal Girasolero 1045,Implemento Forrajero,"Versiones 24 y 26 hileras a 52.5 cm. Mando central barra de corte y acarreador. Bandejas y escudo de acero inoxidable, plegables.",42,Lanzamiento en AgroActiva 2025. Stand 276A.
Mainero,"Mixers Horizontales 2913, 2922, 2933",Implemento Forrajero,"Modelo 2913 (8.500L), 2923 (10.000L), 2933 (12.000L). Serie 3, reducción principal frontal, mandos sinfines superiores traseros, puesto inspección delantero.",42,Lanzamiento en AgroActiva 2025. Stand 276A.
Mainero,Enfardadora 5740,Implemento Forrajero,"Atador de hilo, sistema de alimentación central. Rendimiento aprox. 500 fardos/hora.",42,Lanzamiento en AgroActiva 2025. Stand 276A.
Mainero,Rotoenfardadora 5834 Ultra Cut,Implemento Forrajero,Amplía familia con cutter. Recolector con 25 cuchillas.,42,Lanzamiento en AgroActiva 2025. Stand 276A.
Massey Ferguson,Tractores MF 8S,Tractor,"Cuatro versiones (205 HP a 265 HP). Diseño renovado, mayor confort, dos opciones de transmisión (Dyna-E-Power). Motor AGCO Power 7.4L. Diseño Protect-U.",35,Presentado en AgroActiva 2025.
New Holland,CR 8.90 IntelliSense,Cosechadora,"Tecnología Twin Rotor (50º aniversario), sistema de inteligencia artificial que aprende y se adapta para optimizar rendimiento y minimizar pérdidas, grano más limpio, menor intervención del operador.",11,Presentado en AgroActiva 2025
New Holland,T8 PLM Intelligence,Tractor,Tecnología de agricultura de precisión integrada (PLM Intelligence).,11,Fabricación Nacional. Presentado en AgroActiva 2025
New Holland,Nuevo TL5 con pala,Tractor,"Versátil, ideal para tareas mixtas en explotaciones medianas y pequeñas.",11,Presentado en AgroActiva 2025
New Holland,SP 3000,Pulverizadora,,11,Fabricación Nacional. Presentado en AgroActiva 2025
New Holland,RB 460,Implemento Forrajero,"Rotoenfardadora diseñada para ofrecer calidad, velocidad y eficiencia en el manejo de pasturas.",11,Presentado en AgroActiva 2025
New Holland,SR 200,Implemento Forrajero,"Segadora diseñada para ofrecer calidad, velocidad y eficiencia en el manejo de pasturas.",11,Presentado en AgroActiva 2025
New Holland,Pantallas CR7+ y CR12+,Solución Digital/Agricultura de Precisión,Nuevos displays centrales para la oferta digital.,11,Presentado en AgroActiva 2025
New Holland,Receptor 500S,Solución Digital/Agricultura de Precisión,Nuevo receptor para agricultura de precisión.,11,Presentado en AgroActiva 2025
New Holland,"Plataformas FieldOps, FarmXtend, FieldXplorer",Solución Digital/Agricultura de Precisión,"Para planificación, monitoreo y toma de decisiones precisas basadas en datos.",11,Presentado en AgroActiva 2025
New Holland,New Holland Application Drone,Dron Agrícola,"Dron pulverizador, alternativa para terrenos difíciles o escalas más reducidas, flexibilidad para pequeños y medianos productores.",11,Debut en AgroActiva 2025
Ombú,Pulverizadora autopropulsada PAO 3500,Pulverizadora,Nueva tecnología digital para mayor precisión y eficiencia operativa.,38,Presentada en AgroActiva 2025. Stand 164B.
